,bed,bath,sqft,price,lat,long
2,3,1.0,800,273950,32.81984517647059,-115.56143547058824
3,3,1.0,1082,350000,32.971534,-115.543296
4,4,3.0,2547,385100,32.69197634693878,-115.48016963265306
5,3,1.0,1082,350000,32.971534,-115.543296
6,4,3.0,2769,415000,32.681839,-115.482385
7,5,2.1,2600,545000,32.96523669387755,-115.55402697959184
8,5,2.1,2600,545000,32.96523669387755,-115.55402697959184
10,3,2.1,4044,1350000,34.7839814,-118.813823
13,3,2.0,2686,995000,35.775068,-118.433603
14,1,1.0,1048,2000000,34.8345997,-118.2816987
19,4,2.1,1967,249950,35.1186486122449,-118.45058418367347
20,4,2.0,1573,205000,35.2028558,-118.8341526
21,5,3.0,2065,249000,35.13951727516778,-117.96448310738255
24,3,2.0,1533,229000,35.213376,-117.776911
25,2,1.0,966,239900,35.39061548484848,-119.12453215151515
27,3,2.0,1478,239900,35.36041678947368,-119.03620442105264
28,4,3.0,1876,240000,35.325791,-119.03957289795919
29,3,2.0,1820,239990,35.2978765050505,-119.02435961616162
30,3,2.0,1873,219000,35.34887414461394,-119.02248773130923
31,3,2.0,1265,220000,34.869774268456375,-118.16948362416107
32,3,1.0,1364,199500,35.781922565656565,-119.22894524242425
33,3,2.0,1004,224990,35.321484,-119.09492986825514
35,3,2.1,1608,250000,35.3216068,-119.09525841078828
36,3,2.0,1504,225000,34.85883151020408,-118.16989610204082
37,3,2.0,1425,255000,34.86663585714285,-118.14224616326531
38,5,3.0,2190,234900,35.13164525373134,-118.00363979104478
39,3,2.0,1500,245000,34.86146010097693,-118.16678565761194
40,3,2.0,1410,198000,35.13850031995291,-117.96446107367403
42,3,2.0,1440,235000,34.851489708574704,-119.17090124459814
44,3,2.0,1562,225000,35.1279324375,-118.0041906875
49,2,2.0,1378,249000,34.8482903,-119.17101030845205
50,4,2.0,1421,229900,35.12912923255814,-118.45084595348837
51,3,2.0,1222,216000,34.85155875,-118.1658355
52,2,2.0,956,230000,34.874318836734695,-118.15707232653061
54,3,2.0,1484,255000,34.878385660020825,-118.15748147935258
55,3,2.0,1499,233000,35.33103862855552,-119.06914603131084
56,3,2.0,1422,195000,35.12774467346939,-117.99042326530612
57,3,2.1,1152,238000,34.84124185,-119.15965357545414
58,3,2.0,1774,230000,35.12249326876767,-117.97002318394439
59,3,2.0,1584,219000,34.8552459,-119.17314238968821
60,4,2.0,1368,239900,34.83939223171964,-119.14873167195827
61,3,2.0,1268,234900,35.293615183673474,-119.04705706122448
63,3,2.0,1877,199000,35.12813337859216,-117.96165919459847
65,2,2.0,949,209750,34.850717427754255,-119.13002628326275
67,3,2.0,1242,200000,35.3125748,-119.10378257223917
69,3,2.2,1426,249000,34.840801949124405,-119.1538180395807
70,4,2.0,1775,195000,35.12620818181818,-117.96112501010101
71,3,2.0,952,199000,34.840661850000004,-119.1485952171073
74,2,2.0,956,213900,34.874072,-118.157118
75,3,2.0,1542,220000,34.844928,-119.1518809
76,3,2.0,1411,250000,35.3137179,-119.10580156612679
77,3,2.0,1448,230000,35.34445368347394,-119.07221672191484
80,3,2.0,1400,249000,35.11143,-117.959615
82,2,1.0,783,195000,34.845521797141814,-119.15688761348608
84,3,2.0,1729,210000,35.13599652525252,-117.9579416868687
85,3,2.0,1945,199950,35.13652799935879,-117.93577893887972
86,4,2.0,1632,239000,34.84794405,-119.15931327734043
87,3,2.0,1792,299000,34.84948189795919,-119.15486410204082
88,4,2.1,1967,249950,35.1186486122449,-118.45058418367347
89,3,2.0,1433,260000,34.8615945,-118.18964135714286
90,3,2.0,2435,284900,35.1242684,-118.4388372
91,5,3.0,2065,249000,35.13951727516778,-117.96448310738255
93,3,2.0,1683,290000,35.3411967,-119.13170059972592
94,5,2.0,1837,260000,34.870201249999994,-118.186201
95,3,2.0,1630,259900,34.856315289942906,-118.19047263374034
98,3,2.0,1515,275000,35.39666155,-119.11346922326757
99,4,2.1,1996,269669,35.136891250000005,-117.9533715
101,3,2.0,1316,275000,35.422728250000006,-119.11127269520227
102,3,2.1,1608,250000,35.3216068,-119.09525841078828
103,5,2.1,2228,299000,35.295421727272725,-119.04482245454545
104,3,2.0,1800,270000,34.84882691256892,-119.1547404890715
105,3,2.0,1425,255000,34.86663585714285,-118.14224616326531
109,3,2.0,1500,245000,34.86146010097693,-118.16678565761194
110,2,2.0,1137,259000,34.85297402318326,-119.15274898644506
111,6,5.0,2352,300000,34.974367,-118.129109
112,3,2.0,2400,258000,35.137609448979596,-117.95219091836735
114,3,2.0,1687,260000,34.86705742857143,-118.14196714285714
116,2,2.0,1378,249000,34.8482903,-119.17101030845205
117,3,2.0,1473,269900,34.86845227272727,-118.17801172727273
122,3,2.0,1484,255000,34.878385660020825,-118.15748147935258
123,3,2.0,1800,299000,35.00496096787149,-117.6407004497992
127,3,3.0,1293,279000,34.83737441222408,-119.16522383702178
128,3,3.0,2479,299500,34.84096923910322,-118.87074317758375
129,4,2.1,1579,279000,34.835466350000004,-119.1644091
131,3,2.2,1426,249000,34.840801949124405,-119.1538180395807
132,2,2.0,1520,265000,34.8362737,-119.14831371955258
133,3,2.0,1920,275000,34.8542788720238,-119.17534850688766
135,3,2.0,1688,274960,34.8383686,-119.1622775953966
136,3,2.0,1411,250000,35.3137179,-119.10580156612679
140,3,2.1,1712,285000,34.840969799999996,-119.14803159595638
141,3,2.0,1400,249000,35.11143,-117.959615
144,3,2.1,1728,299000,34.84922225,-119.1697987
145,3,3.1,2571,275000,35.11286736363636,-117.97278866666667
146,4,3.0,2300,299000,34.8486579,-119.1665367
147,3,2.0,1344,279000,34.85199463249817,-119.14288609560928
148,3,2.0,1536,278888,34.83813180846484,-119.15351019738831
150,3,2.0,1792,299000,34.84948189795919,-119.15486410204082
151,3,2.1,2011,339900,35.30632528571429,-119.11301171428572
152,5,3.1,2557,344500,34.855045691105204,-118.17346618274223
154,3,2.0,1615,329900,34.844928,-119.1518809
156,4,3.0,2792,325000,35.360465036363635,-119.05018114545454
157,4,2.1,1831,319900,34.85242638028169,-118.19238221126761
160,4,2.0,1838,315000,35.2934444,-119.0695632
161,4,3.0,1689,315000,34.86551020408164,-118.20298642857144
162,4,2.0,2043,335000,35.42487785,-119.12610815
163,3,2.1,2112,330000,34.971923,-118.210537
164,5,2.1,2228,299000,35.295421727272725,-119.04482245454545
165,3,2.0,1833,340000,35.11612238095238,-118.45391428571429
166,4,2.1,2498,349990,34.86904269441202,-118.19281864320055
171,5,4.0,2631,311000,35.11248841414142,-117.94467594949495
172,3,2.1,1622,319000,35.0659722244898,-118.18347134693877
173,6,5.0,2352,300000,34.974367,-118.129109
174,4,2.0,2302,344900,35.09840989759658,-118.65925338722246
175,3,3.0,2639,329999,35.40839053020134,-118.97840425503355
176,3,1.2,2304,329900,34.8389878,-119.16244321732283
177,3,2.1,1640,335000,34.83378367407437,-119.14818948998503
181,3,2.0,1800,299000,35.00496096787149,-117.6407004497992
182,5,4.0,3865,349900,35.34924645637584,-119.02793310067115
183,4,3.1,1987,316900,34.87227666434106,-118.18104113268234
185,5,3.0,2972,349000,35.27298204697986,-119.06101699328859
189,3,3.0,2479,299500,34.84096923910322,-118.87074317758375
190,3,2.1,2072,338000,34.847484699999995,-119.15773379923334
191,2,1.0,852,350000,34.8473836,-119.17198977038188
192,3,2.0,2380,349000,34.83488695,-119.16498603875957
193,5,3.1,2725,345000,35.121701489361705,-118.42879927659575
195,3,2.1,2214,314900,35.13673433333333,-117.95096025925926
196,3,2.1,1728,299000,34.84922225,-119.1697987
